# Prompt 3 audit of print() calls in engine/, tools/, Run_*.py. Total=90. keep=65, info=11, warning=11, error=3, review=0. Rows follow one per print() occurrence. Regenerate with: python tools/_build_print_audit.py
"file","line","category","current_code","proposed_replacement","notes"
"engine/plot_runtime.py","851","keep","print(f""\n  Total: {total} plot(s)"")","","_print_plot_list() footer."
"engine/plot_runtime.py","857","keep","print(""\n"" + ""="" * 60)","","_print_dry_run() banner (CLI --dry-run branch)."
"engine/plot_runtime.py","858","keep","print(f""{'DRY RUN':^60}"")","","_print_dry_run() title."
"engine/plot_runtime.py","859","keep","print(""="" * 60)","","_print_dry_run() banner."
"engine/plot_runtime.py","860","keep","print(f""\n  Title:   {config.title}"")","","_print_dry_run() field."
"engine/plot_runtime.py","861","keep","print(f""  Output:  {config.output_dir}"")","","_print_dry_run() field."
"engine/plot_runtime.py","862","keep","print(f""\n  Runs ({len(runs)}):"")","","_print_dry_run() runs header."
"engine/plot_runtime.py","864","keep","print(f""    *  {run['name']} ({run.get('type', '?')}) -- {run.get('file', '?')}"")","","_print_dry_run() run entry."
"engine/plot_runtime.py","892","keep","print(""\n  Plots:"")","","_print_dry_run() plots header."
"engine/plot_runtime.py","900","keep","print(f""    {label}: {len(group)}"")","","_print_dry_run() plot-group count."
"engine/plot_runtime.py","915","keep","print(f""      *  {name}{extra}"")","","_print_dry_run() plot entry."
"engine/plot_runtime.py","918","keep","print(""    ---------"")","","_print_dry_run() total separator."
"engine/plot_runtime.py","919","keep","print(f""    total: {total}"")","","_print_dry_run() total."
"engine/plot_runtime.py","921","keep","print(f""    estimated on-disk size: ~{est_bytes / 1024 / 1024:.0f} MB"")","","_print_dry_run() disk-size estimate."
"engine/plot_runtime.py","923","keep","print(f""\n  PowerPoint: {config.powerpoint_output}"")","","_print_dry_run() pptx target."
"engine/plot_runtime.py","925","keep","print(f""    Slides mapped: {len(export_map)}"")","","_print_dry_run() slide count."
"engine/plot_runtime.py","926","keep","print(""\n"" + ""="" * 60 + ""\n"")","","_print_dry_run() closing banner."
"engine/plot_runtime.py","1079","info","print(""\n"" + ""="" * 80)","log.info(""="" * 80)","run_plot_job() opening banner rule."
"engine/plot_runtime.py","1080","info","print(f""{title:^80}"")","log.info(""%s"", title.center(80))","run_plot_job() opening banner title."
"engine/plot_runtime.py","1081","info","print(""="" * 80 + ""\n"")","log.info(""="" * 80)","run_plot_job() opening banner rule (drop trailing blank)."
"engine/plot_runtime.py","1099","keep","print(f""  Full report: {report_path}\n"")","","Follows print_quality_summary() (also keep); CLI-style user pointer to the quality report."
"engine/plot_runtime.py","1102","info","print(""\nGenerating plots..."")","log.info(""Generating plots..."")","run_plot_job() progress marker."
"engine/plot_runtime.py","1108","info","print(f""\nGenerated {plot_count} plot(s) in {elapsed:.1f}s -> {plotter.plots_dir}"")","log.info(""Generated %d plot(s) in %.1fs -> %s"", plot_count, elapsed, plotter.plots_dir)","run_plot_job() completion marker."
"engine/plot_runtime.py","1125","info","print(f""\nExporting to PowerPoint [{i + 1}/{len(exports)}]: {label}"")","log.info(""Exporting to PowerPoint [%d/%d]: %s"", i + 1, len(exports), label)","run_plot_job() pptx-export progress."
"engine/plot_runtime.py","1139","info","print(f""File saved to: {out}"")","log.info(""File saved to: %s"", out)","run_plot_job() fallback message when auto-open fails."
"engine/plot_runtime.py","1148","info","print(""\n"" + ""="" * 80)","log.info(""="" * 80)","run_plot_job() closing banner rule."
"engine/plot_runtime.py","1149","info","print(f""{'PROCESSING COMPLETE':^80}"")","log.info(""%s"", ""PROCESSING COMPLETE"".center(80))","run_plot_job() closing banner title."
"engine/plot_runtime.py","1150","info","print(""="" * 80 + ""\n"")","log.info(""="" * 80)","run_plot_job() closing banner rule (drop trailing blank)."
"engine/plot_runtime.py","1539","warning","print(f""[WARNING][powerpointexporter] Could not save to {output_path} ({exc}). Using fallback: {fallback}"")","log.warning(""Could not save to %s (%s). Using fallback: %s"", output_path, exc, fallback)","Explicit [WARNING] prefix in the win32com fallback path."
"engine/plot_runtime.py","1542","info","print(f""PowerPoint report saved to: {final}"")","log.info(""PowerPoint report saved to: %s"", final)","win32com exporter success message."
"engine/datafunctions.py","762","warning","print(f""[WARNING][datafunctions] No fit condition channel '{fit_mask_info['axis_name']}' for run '{label}'. Segment skipped."")","log.warning(""No fit condition channel %r for run %r. Segment skipped."", fit_mask_info[""axis_name""], label)","Explicit [WARNING] prefix, non-fatal."
"engine/datafunctions.py","783","warning","print(f""[WARNING][datafunctions] Robust fit segment {idx + 1} failed for '{label}' ({x_var} vs {y_var}). Skipping segment."")","log.warning(""Robust fit segment %d failed for %r (%s vs %s). Skipping segment."", idx + 1, label, x_var, y_var)","Explicit [WARNING] prefix, non-fatal."
"engine/datafunctions.py","810","warning","print(f""[WARNING][datafunctions] Not enough data for fit segment {idx + 1} of '{label}' ({x_var} vs {y_var}). Skipping segment."")","log.warning(""Not enough data for fit segment %d of %r (%s vs %s). Skipping segment."", idx + 1, label, x_var, y_var)","Explicit [WARNING] prefix, non-fatal."
"engine/datafunctions.py","877","warning","print(f""[WARNING][datafunctions] Scatter plot '{plot_name}': fit condition channel '{channel}' missing in run '{run_name}'."")","log.warning(""Scatter plot %r: fit condition channel %r missing in run %r."", plot_name, channel, run_name)","Explicit [WARNING] prefix, non-fatal."
"engine/data_quality_report.py","216","keep","print(""\nData Quality Summary"")","","Inside print_quality_summary(); user-facing quality report used by --check-only AND workflow when issues exist."
"engine/data_quality_report.py","217","keep","print(""="" * 72)","","print_quality_summary() separator."
"engine/data_quality_report.py","226","keep","print(f""{marker}{title}: {count} record{'s' if count != 1 else ''}"")","","print_quality_summary() per-section row."
"tools/golden_regression.py","270","keep","print(f""[snapshot] {module_name}: reading configuration..."", flush=True)","","CLI progress output for a standalone operator tool."
"tools/golden_regression.py","274","keep","print(f""[snapshot] {module_name}: output_dir = {output_dir}"", flush=True)","","CLI progress output."
"tools/golden_regression.py","275","keep","print(f""[snapshot] {module_name}: invoking runner headlessly..."", flush=True)","","CLI progress output."
"tools/golden_regression.py","277","keep","print(f""[snapshot] {module_name}: hashing outputs..."", flush=True)","","CLI progress output."
"tools/golden_regression.py","297","keep","print(f""[snapshot] {module_name}: wrote {dest.relative_to(_REPO_ROOT)} ({len(png_hashes)} PNG(s), {len(pptx_hashes)} PPTX)."")","","CLI result message."
"tools/golden_regression.py","312","keep","print(f""[verify]   {module_name}: reading snapshot..."", flush=True)","","CLI progress output."
"tools/golden_regression.py","317","keep","print(f""[verify]   {module_name}: invoking runner headlessly..."", flush=True)","","CLI progress output."
"tools/golden_regression.py","319","keep","print(f""[verify]   {module_name}: hashing outputs..."", flush=True)","","CLI progress output."
"tools/golden_regression.py","325","keep","print(f""[verify]   {module_name}: OK - {n} hash(es) match."")","","CLI result message."
"tools/golden_regression.py","327","keep","print(f""[verify]   {module_name}: FAILED"", file=sys.stderr)","","CLI failure header (stderr)."
"tools/golden_regression.py","329","keep","print(""  "" + line, file=sys.stderr)","","CLI failure detail lines (stderr)."
"tools/golden_regression.py","330","keep","print(f""\n  {len(problems)} regression(s) detected. Snapshot lives at {snap_path.relative_to(_REPO_ROOT)}."", file=sys.stderr)","","CLI failure footer (stderr)."
"tools/golden_regression.py","353","keep","print(""(no snapshots)"")","","list subcommand output when tests/golden/ missing."
"tools/golden_regression.py","357","keep","print(""(no snapshots)"")","","list subcommand output when no .json snapshots exist."
"tools/golden_regression.py","359","keep","print(f""{'workflow':<30} {'PNGs':>5} {'PPTX':>5}  path"")","","list subcommand table header."
"tools/golden_regression.py","360","keep","print(""-"" * 70)","","list subcommand separator."
"tools/golden_regression.py","366","keep","print(f""{data.get('workflow_module', snap.stem):<30} {n_png:>5} {n_pptx:>5}  {snap.relative_to(_REPO_ROOT)}"")","","list subcommand table row."
"tools/golden_regression.py","370","keep","print(f""  {snap.name}: unreadable ({exc})"", file=sys.stderr)","","list subcommand per-file error (stderr) — CLI output, not workflow noise."
"tools/validate_config.py","28","keep","print(f""ERROR: File not found: {config_path}"")","","Standalone CLI validation tool; all output is user-facing."
"tools/validate_config.py","30","keep","print(f""Validating: {config_path.name}"")","","CLI header."
"tools/validate_config.py","31","keep","print(""-"" * 50)","","CLI separator."
"tools/validate_config.py","32","keep","print(""  Running with --dry-run to validate..."")","","CLI status."
"tools/validate_config.py","40","keep","print(""\n  ✓ Configuration is valid (dry-run passed)."")","","CLI success result."
"tools/validate_config.py","43","keep","print(f""\n  ✗ Validation failed (exit code {e.code})."")","","CLI failure result."
"tools/validate_config.py","46","keep","print(""\n  ✓ Configuration is valid."")","","CLI success result."
"tools/validate_config.py","48","keep","print(f""\n  ✗ Error during validation: {e}"")","","CLI error result."
"tools/organise_data.py","47","keep","print(""Nothing to move — all files already organised or no event codes detected."")","","Standalone CLI utility; user-facing output."
"tools/organise_data.py","51","keep","print(f""{prefix}{event}: {len(files)} file(s)"")","","CLI per-event summary line."
"tools/organise_data.py","53","keep","print(f""  {f.name}"")","","CLI per-file listing."
"Run_Vibrations.py","68","keep","print(f""\n{'#'*60}\n# RUN: {run['name']}\n{'#'*60}"")","","Inside `if __name__ == ""__main__"":` block; per constraint Run_*.py __main__ prints are keep."
